 PPID   PID COMM
    1   587 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
    1   588 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
    1   589 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
    1   590 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
    1   592 /System/Library/CoreServices/ReportCrash
    1   593 /System/Applications/Music.app/Contents/PlugIns/MusicCacheExtension.appex/Contents/MacOS/MusicCacheExtension
    1   594 /usr/libexec/diagnosticextensionsd
    1   597 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
    1   598 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedODRService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedODRService
    1   601 /Applications/Safari.app/Contents/PlugIns/CacheDeleteExtension.appex/Contents/MacOS/CacheDeleteExtension
    1   602 /usr/libexec/networkserviceproxy
    1   604 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
    1   605 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
    1   606 /System/Applications/TV.app/Contents/PlugIns/TVCacheExtension.appex/Contents/MacOS/TVCacheExtension
    1   608 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
    1   615 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService
    1   616 /usr/libexec/rtcreportingd
  116   617 /usr/sbin/systemstats
    1   618 /usr/libexec/USBAgent
    1   619 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
    1   620 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
    1   622 /System/Library/PrivateFrameworks/IDSBlastDoorSupport.framework/Versions/A/XPCServices/IDSBlastDoorService.xpc/Contents/MacOS/IDSBlastDoorService
    1   623 /System/Library/Frameworks/ClassKit.framework/Versions/A/progressd
    1   624 /System/Library/CoreServices/osanalyticshelper
    1   625 /usr/sbin/distnoted
    1   626 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
    1   628 /usr/libexec/loginitemregisterd
    1   629 /usr/libexec/swcd
    1   630 /usr/libexec/smd
    1   631 com.macpaw.CleanMyMac4.HealthMonitor
    1   632 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
    1   633 /usr/libexec/promotedcontentd
    1   634 /Library/PrivilegedHelperTools/com.macpaw.CleanMyMac4.Agent
    1   636 /usr/libexec/findmydevice-user-agent
    1   637 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
    1   638 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
    1   641 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
    1   643 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
    1   644 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
    1   652 /System/Library/CoreServices/CrashReporterSupportHelper
    1   663 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
    1   666 /usr/sbin/distnoted
    1   667 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/TelemetryDiskChecker.xpc/Contents/MacOS/TelemetryDiskChecker
    1   668 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
    1   674 /usr/libexec/adprivacyd
    1   677 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.70/Helpers/chrome_crashpad_handler
